

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
207.803  000.323  000.323: sourcing /Users/fmccabe/.local/share/nvim/plugged/searchtasks.vim/plugin/searchtasks.vim
208.404  000.350  000.350: sourcing /Users/fmccabe/.local/share/nvim/plugged/ack.vim/plugin/ack.vim
209.164  000.481  000.481: sourcing /Users/fmccabe/.local/share/nvim/plugged/vim-rsi/plugin/rsi.vim
210.147  000.717  000.717: sourcing /Users/fmccabe/.local/share/nvim/plugged/vim-endwise/plugin/endwise.vim
211.097  000.584  000.584: sourcing /Users/fmccabe/.local/share/nvim/plugged/vim-projectionist/plugin/projectionist.vim
212.327  000.819  000.819: sourcing /Users/fmccabe/.local/share/nvim/plugged/vim-surround/plugin/surround.vim
213.363  000.805  000.805: sourcing /Users/fmccabe/.local/share/nvim/plugged/vim-fugitive/plugin/fugitive.vim
214.055  000.443  000.443: sourcing /Users/fmccabe/.local/share/nvim/plugged/vim-commentary/plugin/commentary.vim
214.823  000.365  000.365: sourcing /Users/fmccabe/.local/share/nvim/plugged/scratch.vim/plugin/scratch.vim
215.614  000.412  000.412: sourcing /Users/fmccabe/.local/share/nvim/plugged/lightline.vim/plugin/lightline.vim
216.065  000.241  000.241: sourcing /Users/fmccabe/.local/share/nvim/plugged/nyaovim-markdown-preview/plugin/markdown-preview.vim
216.499  000.219  000.219: sourcing /Users/fmccabe/.local/share/nvim/plugged/nyaovim-popup-tooltip/plugin/nyaovim-popup-tooltip.vim
216.985  000.201  000.201: sourcing /Users/fmccabe/.local/share/nvim/plugged/rainbow_parentheses.vim/plugin/rainbow_parentheses.vim
217.526  000.298  000.298: sourcing /Users/fmccabe/.local/share/nvim/plugged/acid.nvim/plugin/acid.vim
218.698  000.264  000.264: sourcing /Users/fmccabe/.local/share/nvim/plugged/deoplete-go/plugin/deoplete-go.vim
220.332  000.621  000.621: sourcing /Users/fmccabe/.local/share/nvim/plugged/vim-go/autoload/go/config.vim
220.797  001.848  001.227: sourcing /Users/fmccabe/.local/share/nvim/plugged/vim-go/plugin/go.vim
